MW,TPSA,SlogP,HBA,HBD,RB
442.5490000000001,130.36,1.7876999999999998,8,3,5
442.54900000000015,130.36,1.7876999999999996,8,3,5
442.5490000000002,130.36,1.7876999999999996,8,3,5
442.54900000000015,130.36,1.7876999999999998,8,3,5
442.5490000000002,130.36,1.7876999999999996,8,3,5
442.5490000000002,130.36,1.787699999999999,8,3,5
442.54900000000015,130.36,1.7876999999999998,8,3,5
442.5490000000002,130.36,1.7876999999999996,8,3,5
442.5490000000001,130.36,1.7876999999999998,8,3,5
442.5490000000002,130.36,1.7876999999999994,8,3,5
442.5490000000002,130.36,1.7876999999999987,8,3,5
442.54900000000015,130.36,1.7876999999999998,8,3,5
442.5490000000002,130.36,1.787699999999999,8,3,5
442.54900000000015,130.36,1.7876999999999996,8,3,5
442.5490000000002,130.36,1.7876999999999996,8,3,5
442.5490000000002,130.36,1.7876999999999996,8,3,5
442.5490000000002,130.36,1.7876999999999994,8,3,5
442.5490000000002,130.36,1.7876999999999994,8,3,5
442.5490000000002,130.36,1.7876999999999998,8,3,5
442.5490000000002,130.36,1.7876999999999987,8,3,5
442.54900000000026,130.36,1.7876999999999992,8,3,5
442.5490000000002,130.36,1.7876999999999994,8,3,5
442.5490000000002,130.36,1.7876999999999987,8,3,5
442.54900000000026,130.36,1.7876999999999992,8,3,5
442.5490000000002,130.36,1.787699999999999,8,3,5
442.5490000000002,130.36,1.5825999999999998,8,3,5
442.5490000000001,130.36,1.7876999999999998,8,3,5
442.5490000000002,130.36,1.7876999999999994,8,3,5
442.5490000000002,130.36,1.5825999999999998,8,3,5
442.54900000000015,130.36,1.787699999999999,8,3,5
442.5490000000002,130.36,1.7876999999999996,8,3,5
442.5490000000001,130.36,1.7876999999999996,8,3,5
442.5490000000002,130.36,1.7876999999999992,8,3,5
442.5490000000002,130.36,1.7876999999999994,8,3,5
442.54900000000015,130.36,1.7876999999999987,8,3,5
442.54900000000026,130.36,1.7876999999999992,8,3,5
442.54900000000015,130.36,1.7876999999999996,8,3,5
442.54900000000026,130.36,1.7876999999999996,8,3,5
442.54900000000026,130.36,1.7876999999999992,8,3,5
442.5490000000002,130.36,1.7876999999999996,8,3,5
442.5490000000002,130.36,1.5825999999999993,8,3,5
442.54900000000015,130.36,1.7876999999999996,8,3,5
442.54900000000026,130.36,1.7876999999999996,8,3,5
442.5490000000002,130.36,1.7876999999999996,8,3,5
442.54900000000015,130.36,1.7876999999999998,8,3,5
442.5490000000002,130.36,1.7876999999999996,8,3,5
442.5490000000002,130.36,1.7876999999999996,8,3,5
442.54900000000015,130.36,1.7876999999999998,8,3,5
442.54900000000015,130.36,1.7876999999999994,8,3,5
442.54900000000015,130.36,1.7876999999999996,8,3,5
442.5490000000002,130.36,1.7876999999999996,8,3,5
442.5490000000002,130.36,1.7876999999999996,8,3,5
442.54900000000015,130.36,1.7876999999999994,8,3,5
442.5490000000002,130.36,1.7876999999999992,8,3,5
442.54900000000015,130.36,1.7876999999999994,8,3,5
442.5490000000002,130.36,1.7876999999999996,8,3,5
442.5490000000002,130.36,1.7876999999999994,8,3,5
442.54900000000015,130.36,1.7876999999999998,8,3,5
442.54900000000026,130.36,1.5825999999999993,8,3,5
442.54900000000026,130.36,1.7876999999999992,8,3,5
442.5490000000002,130.36,1.7876999999999996,8,3,5
442.5490000000002,130.36,1.7876999999999996,8,3,5
442.5490000000002,130.36,1.7876999999999998,8,3,5
442.54900000000026,130.36,1.787699999999999,8,3,5
442.54900000000026,130.36,1.5825999999999998,8,3,5
442.5490000000002,130.36,1.7876999999999996,8,3,5
442.54900000000015,130.36,1.7876999999999998,8,3,5
442.54900000000015,130.36,1.7876999999999996,8,3,5
442.5490000000002,130.36,1.787699999999999,8,3,5
442.54900000000026,130.36,1.7876999999999996,8,3,5
442.54900000000015,130.36,1.7876999999999996,8,3,5
442.5490000000002,130.36,1.7876999999999996,8,3,5
442.54900000000015,130.36,1.7876999999999994,8,3,5
442.5490000000002,130.36,1.7876999999999987,8,3,5
442.5490000000002,130.36,1.7876999999999987,8,3,5
442.54900000000015,130.36,1.7876999999999996,8,3,5
442.5490000000002,130.36,1.7876999999999996,8,3,5
442.54900000000015,130.36,1.7876999999999994,8,3,5
442.5490000000002,130.36,1.7876999999999996,8,3,5
442.54900000000026,130.36,1.5825999999999998,8,3,5
442.5490000000002,130.36,1.787699999999999,8,3,5
442.54900000000015,130.36,1.7876999999999998,8,3,5
442.5490000000002,130.36,1.7876999999999996,8,3,5
442.5490000000002,130.36,1.7876999999999998,8,3,5
442.54900000000015,130.36,1.7876999999999998,8,3,5
442.5490000000002,130.36,1.7876999999999996,8,3,5
442.5490000000002,130.36,1.7876999999999994,8,3,5
442.54900000000015,130.36,1.7876999999999996,8,3,5
442.54900000000015,130.36,1.7876999999999994,8,3,5
442.54900000000015,130.36,1.7877,8,3,5
442.5490000000002,130.36,1.7876999999999996,8,3,5
442.5490000000002,130.36,1.7876999999999996,8,3,5
442.54900000000015,130.36,1.787699999999999,8,3,5
442.54900000000015,130.36,1.7876999999999994,8,3,5
442.54900000000015,130.36,1.7876999999999996,8,3,5
442.54900000000015,130.36,1.787699999999999,8,3,5
442.54900000000026,130.36,1.7876999999999994,8,3,5
442.54900000000015,130.36,1.7876999999999996,8,3,5
442.54900000000026,130.36,1.7876999999999994,8,3,5
442.54900000000026,130.36,1.787699999999999,8,3,5
